,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
79,Renault,Kangoo,2016,164999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113000
80,Volkswagen,GOLF 5,2008,224999.5,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,107000
81,Peugeot,206+,2010,97499.5,Essence,6,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62000
82,Peugeot,Tepee,2010,184999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,98000
85,Dacia,Logan,2013,174999.5,Diesel,7,Manuelle,5,WW au Maroc,Oui,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65000
86,Skoda,Octavia,2008,164999.5,Diesel,8,Manuelle,5,WW au Maroc,Oui,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,85000
87,Renault,Master,2019,27499.5,Diesel,9,Manuelle,5,Importée neuve,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,195000
88,Audi,Q5,2015,104999.5,Diesel,6,Automatique,5,Importée neuve,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,360000
89,Dacia,Duster,2016,224999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130000
90,Peugeot,208,2017,104999.5,Essence,6,Manuelle,5,WW au Maroc,Oui,Bon,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,76000
